tokens,labels,source
"['प्रधानमंत्री', 'ने', 'कहा', 'कि', 'उनके', 'लिए', 'यह', 'विशेष', 'क्षण', 'है', ',', 'क्योंकि', '2014', 'में', 'उन्होंने', 'ही', 'नागपुर', 'मेट्रो', 'की', 'आधारशिला', 'रखी', 'थी', '।']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"[""'"", 'उन्होंने', 'बताया', 'कि', 'बालेश्वर', 'शहर', 'में', 'शारदा', 'ग्रुप', 'की', 'करीब', '15', 'एकड़', 'भूमि', 'है', '।']","['O', 'O', 'O', 'O', 'B-ADDRESS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['""', 'ब्रिटेन', 'के', 'डर्बी', 'विश्वविद्यालय', 'में', 'मनोविज्ञान', 'के', 'प्रवक्ता', 'जहीर', 'हुसैन', 'ने', 'एक', 'बयान', 'में', 'कहा', ',', '""', '""', 'समस्या', 'से', 'जूझ', 'रहे', 'लोगों', 'में', 'स्मार्टफोन', 'का', 'इस्तेमाल', 'पहले', 'के', 'विचार', 'की', 'तुलना', 'में', 'ज्यादा', 'जटिल', 'है', 'और', 'हमारे', 'शोध', 'में', 'स्मार्टफोन', 'के', 'इस्तेमाल', 'पर', 'विभिन्न', 'प्रकार', 'के', 'मनोवैज्ञानिक', 'कारकों', 'के', 'परस्पर', 'प्रभाव', 'को', 'उजागर', 'किया', 'गया', 'है', '।', '""']","['O', 'B-ADDRESS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NAME_STUDENT', 'I-NAME_STUDENT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['कांग्रेस', 'अध्यक्ष', 'सोनिया', 'गांधी', 'को', 'भी', 'लिखित', 'रुप', 'में', 'इस', 'विचार', 'से', 'अवगत', 'कराया', 'गाया', 'है', '।']","['O', 'O', 'B-NAME_STUDENT', 'I-NAME_STUDENT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['अग्निशमन', 'कर्मियों', ',', 'डॉक्टरों', 'और', 'अस्पताल', 'के', 'कर्मचारियों', 'की', 'मदद', 'से', 'रोगियों', 'और', 'उनके', 'परिजनों', 'को', 'सुरक्षित', 'निकाला', 'गया', 'तथा', 'निकटवर्ती', 'अस्पतालों', 'में', 'भर्ती', 'कराय', 'गया']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['यदि', 'आप', 'वर्तमान', 'भारत', 'के', 'नक्शे', 'को', 'देखें', ',']","['O', 'O', 'O', 'B-ADDRESS', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['बैठक', 'में', 'पार्टी', 'अध्यक्ष', 'राहुल', 'गांधी', ',', 'यूपीए', 'चेयरपर्सन', 'सोनिया', 'गांधी', 'के', 'अलावा', 'पूर्व', 'प्रधानमंत्री', 'मनमोहन', 'सिंह', ',', 'पार्टी', 'महासचिव', 'प्रियंका', 'गांधी', 'वाड्रा', ',', 'वरिष्ठ', 'नेता', 'अहमद', 'पटेल', ',', 'एके', 'एंटनी', ',', 'गुलाम', 'नबी', 'आजाद', ',', 'मल्लिकार्जुन', 'खड़गे', ',', 'अशोक', 'गहलोत', 'तथा', 'कई', 'अन्य', 'नेता', 'शामिल', 'हुए', '।']","['O', 'O', 'O', 'O', 'B-NAME_STUDENT', 'I-NAME_STUDENT', 'O', 'O', 'O', 'B-NAME_STUDENT', 'I-NAME_STUDENT', 'B-NAME_STUDENT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NAME_STUDENT', 'I-NAME_STUDENT', 'B-NAME_STUDENT', 'I-NAME_STUDENT', 'I-NAME_STUDENT', 'I-NAME_STUDENT', 'I-NAME_STUDENT', 'B-NAME_STUDENT', 'I-NAME_STUDENT', 'I-NAME_STUDENT', 'I-NAME_STUDENT', 'I-NAME_STUDENT', 'I-NAME_STUDENT', 'I-NAME_STUDENT', 'B-NAME_STUDENT', 'O', 'B-NAME_STUDENT', 'I-NAME_STUDENT', 'O', 'B-NAME_STUDENT', 'I-NAME_STUDENT', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['हर्ष', 'वर्धन', 'ने', 'स्वीडन', 'के', 'मालमो', 'में', 'मिशन', 'नवाचार', '(', 'एमआई', ')', 'पर', 'भारतीय', 'प्रतिनिधिमंडल', 'का', 'नेतृत्व', 'किया', 'भारत', 'ने', 'मिशन', 'नवाचार', '3', 'में', 'स्वच्छ', 'ऊर्जा', 'अन्वेषकों', 'के', 'लिए', 'एक', 'अंतर्राष्ट्रीय', 'इन्क्यूबेटर', 'लॉन्च', 'कियाभारत', 'ने', 'अक्टूबर', '-', 'नवंबर', ',', '2018', 'में', 'दिल्ली', 'में', 'एमआई', 'स्वच्छ', 'ऊर्जा', 'उपकरण', 'कार्यशाला', 'आयोजित', 'करने', 'की', 'अपनी', 'योजना', 'की', 'घोषणा', 'की', '30', 'महीने', 'पहले', '30', 'नवंबर', ',', '2015', 'को', '20', 'देशों', 'के', 'अगुवा', 'मिशन', 'नवाचार', 'शुरू', 'करने', 'के', 'लिए', 'एक', 'साथ', 'आए', 'जिसका', 'उद्देश्य', 'नवाचार', 'की', 'गति', 'को', 'बढ़ाना', 'और', 'स्वच्छ', 'ऊर्जा', 'को', 'किफायती', 'एवं', 'दुनिया', 'भर', 'में', 'सर्व', 'सुलभ', 'बनाना', 'है', '।']","['B-NAME_STUDENT', 'I-NAME_STUDENT', 'O', 'B-ADDRESS', 'I-ADDRESS', 'I-ADDRESS', 'I-ADDRESS', 'I-ADDRESS', 'I-ADDRESS', 'I-ADDRESS', 'I-ADDRESS', 'I-ADDRESS', 'I-ADDRESS', 'I-ADDRESS', 'I-ADDRESS', 'I-ADDRESS', 'I-ADDRESS', 'I-ADDRESS', 'I-ADDRESS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ADDRESS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['अभिनेत्री', 'मलाइका', 'अरोड़ा', 'का', 'कहना', 'है', 'कि', 'उन्हें', 'फिल्म', ""'"", 'पटाखा', ""'"", 'के', 'गाने', ""'"", 'हैलो', 'हैलो', ""'"", 'की', 'शूटिंग', 'करने', 'में', 'बहुत', 'मजा', 'आया', '।']","['O', 'B-NAME_STUDENT', 'I-NAME_STUDENT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ADDRESS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['उन्होंने', 'आगे', 'लिखा', ',', ""'"", 'मैंने', 'फोन', 'नंबर', 'और', 'अन्य', 'जानकारियों', 'के', 'लिये', 'चुनौती', 'नहीं', 'दी', 'थी', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
